label,message
0,hi dan. need your help with 3240. drop me a msg when you are free.
0,"oh! shit, i thought that was your trip! loooooool ... that just makes so much more sense now ... *grins* and the sofa reference was ... the ""sleep on a couch"" link you sent me ... wasn\"
0,got win ?
0,hey ps sohjie no printer and signed his form le...
0,eating now
0,"okok. me too, maybe later u earlier than me..."
0,hmmmm but i can\
0,need how many hours in all
0,grind and grind. lols if not u lose and lose also waste time
0,hehe. ok hor.. go out next week end.keke...
0,would be very helpful to have you around.. can\
0,"well the general price is <#> /oz, let me know if/when/how much you want"
0,late. <#> plus
0,thanks honey. have a great day.
0,haha well it act as a motivator to make u go for class mah in a wayit is good.... but poor thing wait u tired i xin teng again... haha oklo tml see wat we eating! i din lol must dbl confirm wif u mah lol...
0,"hmm, too many of them unfortunately... pics obviously arent hot cakes. its kinda fun tho"
0,"hi stewart, we talked to some renovation companies who advised usthat the renovation may take up to two and half months. we\"
0,haha it\
1,congratulations ur awarded either â£500 of cd gift vouchers & free entry 2 our â£100 weekly draw txt music to 87066 tncs www.ldew.com 1 win150ppmx3age16
0,dont hesitate. you know this is the second time she has had weakness like that. so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
0,haha good good (: omg haha so cute! she\
0,"yup, leaving right now, be back soon"
0,yep! can help to find articles for our handouts? thks!
0,okasari fever saripoda mali kavala?
0,hahahahaha i\
0,do u ever get a song stuck in your head for no reason and it won\
0,"eh..reope, the jet tgat one."
0,hi dis is yijue i would be happy to work wif ü all for gek1510...
0,so i have to bring the mahjong set?
0,<#> ? ? ? itna late
0,"ohhh wait i see, it says el cajon station"
0,'in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the! intha ponnungale ipaditan;
0,neshanth..tel me who r u?
0,good morning my dear........... have a great &amp; successful day.
0,i need comm members to be here this friday
0,gtf out here
0,jia you on your assignment! ^_^
0,i fell asleep:d hey!! we could kbox as practice!!
0,how are you doing? hope you\
1,"hot live fantasies call now 08707509020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870..k"
0,oh wow:o i\
0,"haha yeah i was dancing abit, cannot stand it my heels are painful!!cannot even last one dance!! haha damn creepy this guy keep coming todance beside me even though i was with weiren or sth!! i dunno leh,i\"
0,"to be honest, i don\"
0,not course. only maths one day one chapter with in one month we can finish.
0,sounds nice. how long is the show?
0,"ll find another part time one, beta..."
0,abhi kaha pahuche?
0,"i keep seeing weird shit and bein all ""woah"" then realising it\"
0,"that time i was charged cheaper because i got <#> orders. so ifonly a few, i dont know how much they will charge."
0,yes. come come. you got the mac coupon?
0,train lo. mug
0,hey what time ü going tmr? go earlier... then no need to queue so long?
0,aiyar dun disturb u liao... thk u have lots 2 do aft ur cupboard come...
0,'helo krish ji.. h0w areu?.. sory me us time away tha.. so aur sunao:-
0,can meet you at 11?
0,m not free at night. any objections?
0,27 bucks...
0,no no. i will check all rooms befor activities
0,i thought you have a lot already..? all take out from cupboard and wear ..haha
0,anything lar but my mum offer to eat... she wants to go mango tonight...
0,no need.
0,thot if u outside come eat ma. they booked a ten pax table coz they thot u coming...
0,prakesh is there know.
0,hey che solu d
0,'k
0,nice then buy lor...
0,'bye! omg!!!! >< t.t i want to say sorry
0,"can lo, go private like you eh."
0,t.v agai kya
